% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:43
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.5236
0                         -4                       2995771.951129747
0.1                       -4                       3000205.8586455076
0.2                       -4                       3006947.914202688
0.30000000000000004       -4                       3017212.965410775
0.4                       -4                       3033309.7159879957
0.5                       -4                       3052977.9575998574
0.6000000000000001        -4                       3077979.2384982263
0.7000000000000001        -4                       3108648.435046058
0.8                       -4                       3143789.1914021266
0.9000000000000001        -4                       3186661.8410888896
1                         -4                       3237305.279938641
1.1                       -4                       3293961.671473659
1.2000000000000002        -4                       3363606.0752146738
1.3000000000000003        -4                       3447932.307023429
1.4000000000000001        -4                       3549829.441820954
1.5                       -4                       3673927.8659292553
1.6                       -4                       3846293.263413114
1.7000000000000002        -4                       4058475.4608752476
1.8000000000000003        -4                       4337037.381716235
1.9000000000000001        -4                       4714283.267674793
2                         -4                       5185678.927999845
0                         -3.9                     2994566.0324264695
0.1                       -3.9                     2998366.987062102
0.2                       -3.9                     3003933.8090022537
0.30000000000000004       -3.9                     3015497.2480220017
0.4                       -3.9                     3032409.3571471376
0.5                       -3.9                     3052161.0282927225
0.6000000000000001        -3.9                     3079730.1357256523
0.7000000000000001        -3.9                     3112569.5100196954
0.8                       -3.9                     3148924.298994754
0.9000000000000001        -3.9                     3197635.1426753956
1                         -3.9                     3253233.0363092143
1.1                       -3.9                     3315321.136612844
1.2000000000000002        -3.9                     3399025.7692261892
1.3000000000000003        -3.9                     3494169.0925519816
1.4000000000000001        -3.9                     3621783.4359640125
1.5                       -3.9                     3765482.8070424288
1.6                       -3.9                     3949595.9173806207
1.7000000000000002        -3.9                     4171579.9196113087
1.8000000000000003        -3.9                     4478199.605471124
1.9000000000000001        -3.9                     4796310.499680696
2                         -3.9                     5175334.32613226
0                         -3.8                     2981203.4660893194
0.1                       -3.8                     2985930.8994244453
0.2                       -3.8                     2993155.7684644917
0.30000000000000004       -3.8                     3004167.520489751
0.4                       -3.8                     3021577.222745927
0.5                       -3.8                     3043022.2320852056
0.6000000000000001        -3.8                     3070486.063397057
0.7000000000000001        -3.8                     3104697.400303338
0.8                       -3.8                     3144564.341480247
0.9000000000000001        -3.8                     3194299.11073437
1                         -3.8                     3252878.9231402026
1.1                       -3.8                     3321639.0555645623
1.2000000000000002        -3.8                     3408250.910238456
1.3000000000000003        -3.8                     3519409.5746982507
1.4000000000000001        -3.8                     3644187.844179327
1.5                       -3.8                     3804445.673996887
1.6                       -3.8                     4003440.4187987624
1.7000000000000002        -3.8                     4235936.098742081
1.8000000000000003        -3.8                     4526929.722003871
1.9000000000000001        -3.8                     4859282.820140647
2                         -3.8                     5201559.560690129
0                         -3.7                     2961989.3145051654
0.1                       -3.7                     2965908.794372477
0.2                       -3.7                     2971684.7894349233
0.30000000000000004       -3.7                     2983696.6729840287
0.4                       -3.7                     3001316.6653941693
0.5                       -3.7                     3021885.7919632923
0.6000000000000001        -3.7                     3050980.796728017
0.7000000000000001        -3.7                     3085764.89134978
0.8                       -3.7                     3123740.524215921
0.9000000000000001        -3.7                     3177209.844584655
1                         -3.7                     3237610.693460283
1.1                       -3.7                     3317217.644753853
1.2000000000000002        -3.7                     3400047.79932798
1.3000000000000003        -3.7                     3508128.335797913
1.4000000000000001        -3.7                     3639315.5998824295
1.5                       -3.7                     3802678.3951588036
1.6                       -3.7                     4012098.1515521132
1.7000000000000002        -3.7                     4261169.508592031
1.8000000000000003        -3.7                     4560662.3845338365
1.9000000000000001        -3.7                     4903255.17293846
2                         -3.7                     5262222.782975094
0                         -3.6000000000000005      2930329.99493552
0.1                       -3.6000000000000005      2935022.4191612783
0.2                       -3.6000000000000005      2942252.4107653215
0.30000000000000004       -3.6000000000000005      2953300.1058355896
0.4                       -3.6000000000000005      2970712.8479646463
0.5                       -3.6000000000000005      2992180.3182821837
0.6000000000000001        -3.6000000000000005      3019758.4068174404
0.7000000000000001        -3.6000000000000005      3053963.8095338256
0.8                       -3.6000000000000005      3093744.788782623
0.9000000000000001        -3.6000000000000005      3144106.7056616694
1                         -3.6000000000000005      3202000.8069348843
1.1                       -3.6000000000000005      3273860.612742991
1.2000000000000002        -3.6000000000000005      3360394.030374069
1.3000000000000003        -3.6000000000000005      3470746.56296732
1.4000000000000001        -3.6000000000000005      3591873.5261685997
1.5                       -3.6000000000000005      3765819.5044754464
1.6                       -3.6000000000000005      3973683.5056938096
1.7000000000000002        -3.6000000000000005      4248424.350145269
1.8000000000000003        -3.6000000000000005      4559783.390309771
1.9000000000000001        -3.6000000000000005      4937820.639471491
2                         -3.6000000000000005      5361755.102217945
0                         -3.5                     2892916.914790504
0.1                       -3.5                     2896675.9638761953
0.2                       -3.5                     2902296.7078704033
0.30000000000000004       -3.5                     2913894.3821684583
0.4                       -3.5                     2930847.0496417955
0.5                       -3.5                     2950651.657433038
0.6000000000000001        -3.5                     2978398.648352065
0.7000000000000001        -3.5                     3011349.5500268126
0.8                       -3.5                     3055503.2970742253
0.9000000000000001        -3.5                     3097408.5646388633
1                         -3.5                     3153085.8171734675
1.1                       -3.5                     3217103.0661714384
1.2000000000000002        -3.5                     3307617.520686263
1.3000000000000003        -3.5                     3402704.233969092
1.4000000000000001        -3.5                     3525408.0073282598
1.5                       -3.5                     3683492.0982483495
1.6                       -3.5                     3879426.9582930156
1.7000000000000002        -3.5                     4152601.4084327254
1.8000000000000003        -3.5                     4511720.146956161
1.9000000000000001        -3.5                     4947352.120410471
2                         -3.5                     5483876.853384952
0                         -3.4                     2849419.772402818
0.1                       -3.4                     2848068.7931397664
0.2                       -3.4                     2854836.240159738
0.30000000000000004       -3.4                     2865209.7527963384
0.4                       -3.4                     2881353.9159910856
0.5                       -3.4                     2901124.7928555408
0.6000000000000001        -3.4                     2926393.6857440476
0.7000000000000001        -3.4                     2957249.4076825115
0.8                       -3.4                     2992318.924741945
0.9000000000000001        -3.4                     3036376.3461375637
1                         -3.4                     3087733.9009976364
1.1                       -3.4                     3147003.925888428
1.2000000000000002        -3.4                     3215742.2530512144
1.3000000000000003        -3.4                     3307095.151793014
1.4000000000000001        -3.4                     3414483.8092554025
1.5                       -3.4                     3549544.270944147
1.6                       -3.4                     3727850.215690495
1.7000000000000002        -3.4                     3986013.5200892
1.8000000000000003        -3.4                     4349966.486377894
1.9000000000000001        -3.4                     4828046.013558396
2                         -3.4                     5587176.909312635
0                         -3.3                     2789303.1296568923
0.1                       -3.3                     2792694.4944269275
0.2                       -3.3                     2797900.738483795
0.30000000000000004       -3.3                     2808439.1833475707
0.4                       -3.3                     2823699.3123629964
0.5                       -3.3                     2841619.3015820524
0.6000000000000001        -3.3                     2865753.309168983
0.7000000000000001        -3.3                     2893989.155668289
0.8                       -3.3                     2930729.1249540886
0.9000000000000001        -3.3                     2965235.070569034
1                         -3.3                     3008251.4196124
1.1                       -3.3                     3059768.1321362155
1.2000000000000002        -3.3                     3124304.8922648225
1.3000000000000003        -3.3                     3185134.287288463
1.4000000000000001        -3.3                     3270939.497122145
1.5                       -3.3                     3372048.938924544
1.6                       -3.3                     3515193.319058877
1.7000000000000002        -3.3                     3723156.3360658353
1.8000000000000003        -3.3                     4058652.962262206
1.9000000000000001        -3.3                     4624300.179552826
2                         -3.3                     5553369.332701668
0                         -3.2                     2724512.6611424726
0.1                       -3.2                     2728320.5759140835
0.2                       -3.2                     2734400.1510855216
0.30000000000000004       -3.2                     2743752.58873134
0.4                       -3.2                     2758002.2379717217
0.5                       -3.2                     2775239.2813127995
