% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:43
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.3927
0                         -3.75                    3000428.73947867
0.1                       -3.75                    3003564.529934953
0.2                       -3.75                    3010818.23879381
0.30000000000000004       -3.75                    3022149.085154047
0.4                       -3.75                    3039722.313900654
0.5                       -3.75                    3061266.2533713556
0.6000000000000001        -3.75                    3089585.914626345
0.7000000000000001        -3.75                    3124303.8258068184
0.8                       -3.75                    3164431.1879433356
0.9000000000000001        -3.75                    3216377.5158204767
1                         -3.75                    3277118.0208864505
1.1                       -3.75                    3346052.229506986
1.2000000000000002        -3.75                    3435448.461298613
1.3000000000000003        -3.75                    3544002.7349575227
1.4000000000000001        -3.75                    3663400.5120335873
1.5                       -3.75                    3841399.5356595432
1.6                       -3.75                    4044867.651339806
1.7000000000000002        -3.75                    4302299.210102757
1.8000000000000003        -3.75                    4599443.903721985
1.9000000000000001        -3.75                    4923594.501718314
2                         -3.75                    5272351.233201661
0                         -3.65                    2994819.3050395614
0.1                       -3.65                    2997941.900038158
0.2                       -3.65                    3005086.790034528
0.30000000000000004       -3.65                    3016402.8364857077
0.4                       -3.65                    3033945.6333359964
0.5                       -3.65                    3055102.91272027
0.6000000000000001        -3.65                    3083136.151547716
0.7000000000000001        -3.65                    3117769.903561678
0.8                       -3.65                    3157335.157525379
0.9000000000000001        -3.65                    3207897.3200806915
1                         -3.65                    3267432.7647097018
1.1                       -3.65                    3338201.50852803
1.2000000000000002        -3.65                    3425315.4908278063
1.3000000000000003        -3.65                    3528252.910315634
1.4000000000000001        -3.65                    3658560.9926568847
1.5                       -3.65                    3829710.5471411357
1.6                       -3.65                    4022006.8667400796
1.7000000000000002        -3.65                    4274622.708407024
1.8000000000000003        -3.65                    4582635.232988051
1.9000000000000001        -3.65                    4934540.229675318
2                         -3.65                    5310165.824329529
0                         -3.55                    2980016.11108525
0.1                       -3.55                    2982986.349430225
0.2                       -3.55                    2990171.1169176227
0.30000000000000004       -3.55                    3001120.2497066725
0.4                       -3.55                    3017696.986746518
0.5                       -3.55                    3038882.462653555
0.6000000000000001        -3.55                    3066245.335808801
0.7000000000000001        -3.55                    3098158.2709760014
0.8                       -3.55                    3136672.80536798
0.9000000000000001        -3.55                    3187311.22174676
1                         -3.55                    3240418.1066898224
1.1                       -3.55                    3307476.8129692622
1.2000000000000002        -3.55                    3386852.353479362
1.3000000000000003        -3.55                    3485701.0237096148
1.4000000000000001        -3.55                    3607565.0499540567
1.5                       -3.55                    3757079.382460622
1.6                       -3.55                    3960629.4921642886
1.7000000000000002        -3.55                    4204604.6468223855
1.8000000000000003        -3.55                    4518714.029064114
1.9000000000000001        -3.55                    4928252.415962324
2                         -3.55                    5377590.730058144
0                         -3.45                    2956221.7404482127
0.1                       -3.45                    2959206.9999999236
0.2                       -3.45                    2965791.7956395666
0.30000000000000004       -3.45                    2976396.2653288045
0.4                       -3.45                    2993075.1010782244
0.5                       -3.45                    3012148.749418937
0.6000000000000001        -3.45                    3037554.4736928637
0.7000000000000001        -3.45                    3069781.5026899804
0.8                       -3.45                    3104047.969848088
0.9000000000000001        -3.45                    3146953.2359962543
1                         -3.45                    3200537.219392623
1.1                       -3.45                    3262751.7576323515
1.2000000000000002        -3.45                    3326981.093660489
1.3000000000000003        -3.45                    3413833.625196999
1.4000000000000001        -3.45                    3527861.20899455
1.5                       -3.45                    3658274.280438225
1.6                       -3.45                    3846513.326719424
1.7000000000000002        -3.45                    4065331.4886901216
1.8000000000000003        -3.45                    4389791.699802986
1.9000000000000001        -3.45                    4851301.757267895
2                         -3.45                    5439116.639627512
0                         -3.35                    2923914.053558058
0.1                       -3.35                    2926572.091892011
0.2                       -3.35                    2933243.863314906
0.30000000000000004       -3.35                    2943193.349019351
0.4                       -3.35                    2957707.295012425
0.5                       -3.35                    2977064.3253817973
0.6000000000000001        -3.35                    3001168.190494013
0.7000000000000001        -3.35                    3027853.509978226
0.8                       -3.35                    3060735.479973064
0.9000000000000001        -3.35                    3102794.6908350927
1                         -3.35                    3141677.841616667
1.1                       -3.35                    3192126.3520368943
1.2000000000000002        -3.35                    3256092.2132697776
1.3000000000000003        -3.35                    3336013.317304951
1.4000000000000001        -3.35                    3410240.560291763
1.5                       -3.35                    3509486.697984403
1.6                       -3.35                    3646573.6301105926
1.7000000000000002        -3.35                    3869359.065502191
1.8000000000000003        -3.35                    4167489.319896676
1.9000000000000001        -3.35                    4645433.0408741385
2                         -3.35                    5445015.305485902
0                         -3.2500000000000004      2883487.426561906
0.1                       -3.2500000000000004      2886183.2212141785
0.2                       -3.2500000000000004      2892050.769565786
0.30000000000000004       -3.2500000000000004      2901515.840847204
0.4                       -3.2500000000000004      2916463.2793645943
0.5                       -3.2500000000000004      2932782.8342702687
0.6000000000000001        -3.2500000000000004      2954234.6635774686
0.7000000000000001        -3.2500000000000004      2981454.873374563
0.8                       -3.2500000000000004      3008575.2223769426
0.9000000000000001        -3.2500000000000004      3040406.945710926
1                         -3.2500000000000004      3080600.344558242
1.1                       -3.2500000000000004      3119647.172428624
1.2000000000000002        -3.2500000000000004      3161140.723231196
1.3000000000000003        -3.2500000000000004      3211133.501019608
1.4000000000000001        -3.2500000000000004      3266894.2480765437
1.5                       -3.2500000000000004      3337125.9312956575
1.6                       -3.2500000000000004      3420316.182442478
1.7000000000000002        -3.2500000000000004      3530312.7422413793
1.8000000000000003        -3.2500000000000004      3779665.38644635
1.9000000000000001        -3.2500000000000004      4259072.520835034
2                         -3.2500000000000004      5217071.874574209
0                         -3.15                    2835593.2292340854
0.1                       -3.15                    2837949.8050461067
0.2                       -3.15                    2843933.055373694
0.30000000000000004       -3.15                    2852771.7479450833
0.4                       -3.15                    2865393.592956044
0.5                       -3.15                    2882181.9643243984
0.6000000000000001        -3.15                    2902318.619479805
0.7000000000000001        -3.15                    2923966.71333239
0.8                       -3.15                    2949801.4747467465
0.9000000000000001        -3.15                    2979695.1096819397
1                         -3.15                    3005500.52295662
1.1                       -3.15                    3037274.1472064345
1.2000000000000002        -3.15                    3072066.1738083237
1.3000000000000003        -3.15                    3097483.425533055
1.4000000000000001        -3.15                    3120728.6603858736
1.5                       -3.15                    3137026.3130897866
1.6                       -3.15                    3159700.88516244
1.7000000000000002        -3.15                    3175297.3402249184
1.8000000000000003        -3.15                    3266148.664242332
1.9000000000000001        -3.15                    3497631.2518642824
2                         -3.15                    4445740.971702788
0                         -3.05                    2780643.528265941
