% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:42
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.2618
0                         -3.5                     2992534.4479678366
0.1                       -3.5                     2996221.198421348
0.2                       -3.5                     3001608.3930755425
0.30000000000000004       -3.5                     3012786.39784304
0.4                       -3.5                     3029078.4638612256
0.5                       -3.5                     3048002.268284339
0.6000000000000001        -3.5                     3074356.155754
0.7000000000000001        -3.5                     3105386.047861273
0.8                       -3.5                     3146422.890318721
0.9000000000000001        -3.5                     3185144.29410018
1                         -3.5                     3235696.731205771
1.1                       -3.5                     3292847.12724723
1.2000000000000002        -3.5                     3371897.713740964
1.3000000000000003        -3.5                     3454482.4451268823
1.4000000000000001        -3.5                     3559071.129213782
1.5                       -3.5                     3693388.133471829
1.6                       -3.5                     3856250.933305446
1.7000000000000002        -3.5                     4091673.060804613
1.8000000000000003        -3.5                     4401309.93703571
1.9000000000000001        -3.5                     4790065.624013786
2                         -3.5                     5274958.849108005
0                         -3.4                     2988854.6114661414
0.1                       -3.4                     2987391.571829254
0.2                       -3.4                     2993869.696632361
0.30000000000000004       -3.4                     3003733.2101419857
0.4                       -3.4                     3019074.6454546577
0.5                       -3.4                     3037707.5057140263
0.6000000000000001        -3.4                     3061325.40293546
0.7000000000000001        -3.4                     3089830.753379212
0.8                       -3.4                     3121876.185199169
0.9000000000000001        -3.4                     3161092.6303144814
1                         -3.4                     3206289.4709459287
1.1                       -3.4                     3256586.9009470236
1.2000000000000002        -3.4                     3312271.020943287
1.3000000000000003        -3.4                     3386075.035216026
1.4000000000000001        -3.4                     3469515.588023337
1.5                       -3.4                     3572655.8481058353
1.6                       -3.4                     3705466.4612049977
1.7000000000000002        -3.4                     3905960.6705077947
1.8000000000000003        -3.4                     4200227.648430144
1.9000000000000001        -3.4                     4609143.454740502
2                         -3.4                     5282129.697246282
0                         -3.3                     2968414.2999267005
0.1                       -3.3                     2971735.979022448
0.2                       -3.3                     2976615.072767372
0.30000000000000004       -3.3                     2986605.0385472537
0.4                       -3.3                     3001005.2462963187
0.5                       -3.3                     3017730.2834034
0.6000000000000001        -3.3                     3040044.8495002524
0.7000000000000001        -3.3                     3065735.5156286303
0.8                       -3.3                     3098373.413539383
