% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
1.5                       -2.4                     3526093.90408075
1.6                       -2.4                     3687560.2347316383
1.7000000000000002        -2.4                     3868141.701541481
1.8000000000000003        -2.4                     4109994.1748062028
1.9000000000000001        -2.4                     4399483.93467705
2                         -2.4                     4710005.640607726
0                         -2.3                     2791606.752554031
0.1                       -2.3                     2795392.660067375
0.2                       -2.3                     2801064.0282534654
0.30000000000000004       -2.3                     2812957.3591291257
0.4                       -2.3                     2830102.0850829934
0.5                       -2.3                     2849900.6538917217
0.6000000000000001        -2.3                     2878433.610963655
0.7000000000000001        -2.3                     2911653.9339392865
0.8                       -2.3                     2948661.385059002
0.9000000000000001        -2.3                     2998392.823891768
1                         -2.3                     3054202.7289718725
1.1                       -2.3                     3118140.180300341
1.2000000000000002        -2.3                     3201181.2399701397
1.3000000000000003        -2.3                     3295550.7827338413
1.4000000000000001        -2.3                     3413604.5003713733
1.5                       -2.3                     3556250.4476771513
1.6                       -2.3                     3729828.331570751
1.7000000000000002        -2.3                     3947067.5635264292
1.8000000000000003        -2.3                     4204729.790621626
1.9000000000000001        -2.3                     4497684.112113253
2                         -2.3                     4805827.463287826
0                         -2.2                     2731353.6525717564
0.1                       -2.2                     2736030.9720065235
0.2                       -2.2                     2743330.129766524
0.30000000000000004       -2.2                     2754631.0492524705
0.4                       -2.2                     2772170.6389888274
0.5                       -2.2                     2793834.099198904
0.6000000000000001        -2.2                     2822016.0384197356
0.7000000000000001        -2.2                     2856183.716993656
0.8                       -2.2                     2896833.120879373
0.9000000000000001        -2.2                     2947553.807622204
1                         -2.2                     3004711.9476746335
1.1                       -2.2                     3078100.294158009
1.2000000000000002        -2.2                     3165108.2624513325
1.3000000000000003        -2.2                     3275924.720360755
1.4000000000000001        -2.2                     3400767.887842738
1.5                       -2.2                     3557324.5276102736
1.6                       -2.2                     3759030.9701438188
1.7000000000000002        -2.2                     3992076.9453493846
1.8000000000000003        -2.2                     4276063.36798525
1.9000000000000001        -2.2                     4598811.109775689
2                         -2.2                     4938288.267490298
0                         -2.1                     2665702.1533727236
0.1                       -2.1                     2669531.3668620586
0.2                       -2.1                     2675420.226073909
0.30000000000000004       -2.1                     2687716.3757527773
0.4                       -2.1                     2705447.818047145
0.5                       -2.1                     2725971.0877509
0.6000000000000001        -2.1                     2755855.312151673
0.7000000000000001        -2.1                     2790779.9574000165
0.8                       -2.1                     2830184.907607147
0.9000000000000001        -2.1                     2883254.8126855083
1                         -2.1                     2943777.001563302
1.1                       -2.1                     3014330.10569394
1.2000000000000002        -2.1                     3105122.2787702642
1.3000000000000003        -2.1                     3211499.501598974
1.4000000000000001        -2.1                     3346939.058787667
1.5                       -2.1                     3527556.4635616094
1.6                       -2.1                     3725968.949971227
1.7000000000000002        -2.1                     3996425.3145152433
1.8000000000000003        -2.1                     4311583.878305985
1.9000000000000001        -2.1                     4691827.665528015
2                         -2.1                     5115432.118386584
0                         -2                       2588475.9998006364
0.1                       -2                       2593015.9925488373
0.2                       -2                       2600286.283155069
0.30000000000000004       -2                       2611622.4584364495
0.4                       -2                       2629079.108708059
0.5                       -2                       2650680.4691862683
0.6000000000000001        -2                       2678926.283349257
0.7000000000000001        -2                       2712914.532797016
0.8                       -2                       2753594.774293116
0.9000000000000001        -2                       2804621.6203559185
1                         -2                       2861079.3944993163
1.1                       -2                       2935461.195313469
1.2000000000000002        -2                       3025788.270703162
1.3000000000000003        -2                       3134469.441694524
1.4000000000000001        -2                       3272634.4962062202
1.5                       -2                       3437693.6219097776
1.6                       -2                       3651718.72044828
1.7000000000000002        -2                       3926586.0579613163
1.8000000000000003        -2                       4299949.959230425
1.9000000000000001        -2                       4753590.131491209
2                         -2                       5309787.084907028
0                         -1.9                     2506185.0612121127
0.1                       -1.9                     2509793.062970231
0.2                       -1.9                     2515587.3806255613
0.30000000000000004       -1.9                     2527449.6572321937
0.4                       -1.9                     2544488.369243112
0.5                       -1.9                     2564366.620452642
0.6000000000000001        -1.9                     2592749.091660494
0.7000000000000001        -1.9                     2625863.9632059373
0.8                       -1.9                     2663590.9176950143
0.9000000000000001        -1.9                     2712437.598911673
1                         -1.9                     2768917.2372637084
1.1                       -1.9                     2842475.0584254353
1.2000000000000002        -1.9                     2916607.371511902
1.3000000000000003        -1.9                     3018390.415603899
1.4000000000000001        -1.9                     3145035.133069828
1.5                       -1.9                     3306663.77271359
1.6                       -1.9                     3517155.8085936005
