% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:42
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.1309
0.30000000000000004       -2.75                    2893002.3823982775
0.4                       -2.75                    2906137.600441282
0.5                       -2.75                    2920867.6306000645
0.6000000000000001        -2.75                    2939334.330456402
0.7000000000000001        -2.75                    2961478.231404488
0.8                       -2.75                    2983214.457202919
0.9000000000000001        -2.75                    3006381.273247148
1                         -2.75                    3033480.8276800755
1.1                       -2.75                    3054382.4150577458
1.2000000000000002        -2.75                    3069369.4479040005
1.3000000000000003        -2.75                    3083598.580302918
1.4000000000000001        -2.75                    3080399.8809921467
1.5                       -2.75                    3066768.1579924566
1.6                       -2.75                    3028574.480993582
1.7000000000000002        -2.75                    2974581.897033788
1.8000000000000003        -2.75                    2956728.2383895707
1.9000000000000001        -2.75                    3001847.7472077818
2                         -2.75                    3480677.524846569
0                         -2.65                    2834606.2045745184
0.1                       -2.65                    2837036.6192929302
0.2                       -2.65                    2843019.0394651177
0.30000000000000004       -2.65                    2852077.3018666124
0.4                       -2.65                    2865381.0143738603
0.5                       -2.65                    2881888.4935275903
0.6000000000000001        -2.65                    2902448.5240576854
0.7000000000000001        -2.65                    2924800.6299589984
0.8                       -2.65                    2950904.108067214
0.9000000000000001        -2.65                    2980910.793717495
1                         -2.65                    3008062.255040862
1.1                       -2.65                    3039194.5347585403
1.2000000000000002        -2.65                    3074960.3562519657
1.3000000000000003        -2.65                    3103715.784517323
1.4000000000000001        -2.65                    3124692.308382644
1.5                       -2.65                    3142562.9365937593
1.6                       -2.65                    3165534.289597088
1.7000000000000002        -2.65                    3217125.3790851943
1.8000000000000003        -2.65                    3298878.494327546
1.9000000000000001        -2.65                    3501148.0334073794
2                         -2.65                    3948933.2014468177
0                         -2.55                    2785439.267246124
0.1                       -2.55                    2788154.77297159
0.2                       -2.55                    2794242.606280728
0.30000000000000004       -2.55                    2803919.1221119985
0.4                       -2.55                    2818873.0367876096
0.5                       -2.55                    2835912.3644270403
0.6000000000000001        -2.55                    2857912.826571984
0.7000000000000001        -2.55                    2885139.1204585903
0.8                       -2.55                    2913177.137108921
0.9000000000000001        -2.55                    2945681.4899163446
1                         -2.55                    2986573.0384253883
1.1                       -2.55                    3025558.680129553
1.2000000000000002        -2.55                    3064850.962424303
1.3000000000000003        -2.55                    3115351.102182866
1.4000000000000001        -2.55                    3165128.3115914506
1.5                       -2.55                    3229547.0074898284
1.6                       -2.55                    3314117.7613226
1.7000000000000002        -2.55                    3405627.630992623
1.8000000000000003        -2.55                    3550745.623994448
1.9000000000000001        -2.55                    3795193.9922334887
2                         -2.55                    4162082.038780741
0                         -2.45                    2728780.780854381
0.1                       -2.45                    2731498.880252532
0.2                       -2.45                    2738169.516342548
0.30000000000000004       -2.45                    2748479.666677706
0.4                       -2.45                    2763720.1404591803
0.5                       -2.45                    2782866.45221016
0.6000000000000001        -2.45                    2807575.797082428
0.7000000000000001        -2.45                    2835277.0683318074
0.8                       -2.45                    2868652.7177662347
0.9000000000000001        -2.45                    2909987.9309870545
1                         -2.45                    2951247.1651505763
1.1                       -2.45                    3002997.997994197
1.2000000000000002        -2.45                    3059631.549949808
1.3000000000000003        -2.45                    3123861.7324573635
1.4000000000000001        -2.45                    3207071.3167586387
1.5                       -2.45                    3300405.4272154546
1.6                       -2.45                    3401558.932598835
1.7000000000000002        -2.45                    3551694.813884012
1.8000000000000003        -2.45                    3742072.426534707
1.9000000000000001        -2.45                    3987885.9556362904
2                         -2.45                    4285626.918050102
0                         -2.35                    2664282.21143294
0.1                       -2.35                    2667242.445415466
0.2                       -2.35                    2674085.4509334
0.30000000000000004       -2.35                    2684989.695612243
0.4                       -2.35                    2701673.4559232346
0.5                       -2.35                    2721584.2408643044
0.6000000000000001        -2.35                    2747648.4137224597
0.7000000000000001        -2.35                    2779699.149739589
0.8                       -2.35                    2815205.3229223765
0.9000000000000001        -2.35                    2858923.5491098044
1                         -2.35                    2911725.900611946
1.1                       -2.35                    2970512.363133603
1.2000000000000002        -2.35                    3036960.8520090957
1.3000000000000003        -2.35                    3125619.834783952
1.4000000000000001        -2.35                    3221586.4493650026
1.5                       -2.35                    3335008.2527157194
1.6                       -2.35                    3484376.094070498
1.7000000000000002        -2.35                    3660884.2127994597
1.8000000000000003        -2.35                    3880849.6511036702
1.9000000000000001        -2.35                    4137460.4263247037
2                         -2.35                    4413696.959300112
0                         -2.2500000000000004      2591781.486308979
0.1                       -2.2500000000000004      2594778.890701454
0.2                       -2.2500000000000004      2601941.6537896786
0.30000000000000004       -2.2500000000000004      2613340.52297705
0.4                       -2.2500000000000004      2630494.079121296
0.5                       -2.2500000000000004      2651583.876104607
0.6000000000000001        -2.2500000000000004      2679708.247525461
0.7000000000000001        -2.2500000000000004      2712665.611784834
0.8                       -2.2500000000000004      2751819.541342319
0.9000000000000001        -2.2500000000000004      2801688.0050669992
1                         -2.2500000000000004      2856119.007931879
1.1                       -2.2500000000000004      2922818.3655714346
1.2000000000000002        -2.2500000000000004      3005752.513166068
1.3000000000000003        -2.2500000000000004      3096134.80892691
1.4000000000000001        -2.2500000000000004      3214768.2312675235
1.5                       -2.2500000000000004      3361707.9659221955
1.6                       -2.2500000000000004      3534742.21813375
1.7000000000000002        -2.2500000000000004      3749753.4340030737
1.8000000000000003        -2.2500000000000004      3984433.544042435
1.9000000000000001        -2.2500000000000004      4272827.175837026
2                         -2.2500000000000004      4569111.13173356
0                         -2.15                    2511166.760949961
0.1                       -2.15                    2514209.021739525
0.2                       -2.15                    2521630.0077877995
0.30000000000000004       -2.15                    2533338.1469493853
0.4                       -2.15                    2550861.2984092426
0.5                       -2.15                    2572899.8753449554
0.6000000000000001        -2.15                    2601750.7697787266
0.7000000000000001        -2.15                    2636183.1339800977
0.8                       -2.15                    2676895.351477501
0.9000000000000001        -2.15                    2728327.7951189554
1                         -2.15                    2787455.8947813385
1.1                       -2.15                    2860725.4485695553
1.2000000000000002        -2.15                    2943683.5727923973
1.3000000000000003        -2.15                    3046280.816897711
1.4000000000000001        -2.15                    3178070.5204401547
1.5                       -2.15                    3328302.3819534425
1.6                       -2.15                    3527460.3857993446
1.7000000000000002        -2.15                    3777387.0376474634
1.8000000000000003        -2.15                    4061853.2867860184
1.9000000000000001        -2.15                    4396752.998279922
2                         -2.15                    4753420.11873313
0                         -2.05                    2422495.033960231
0.1                       -2.05                    2425625.710462442
0.2                       -2.05                    2432871.752809679
0.30000000000000004       -2.05                    2444738.298268341
0.4                       -2.05                    2462947.859027239
0.5                       -2.05                    2484484.7277098536
0.6000000000000001        -2.05                    2513765.4198618783
0.7000000000000001        -2.05                    2549643.191645298
0.8                       -2.05                    2590720.3087593326
0.9000000000000001        -2.05                    2643220.277278007
1                         -2.05                    2705279.3195777023
1.1                       -2.05                    2777517.1900093774
1.2000000000000002        -2.05                    2866389.7404157785
1.3000000000000003        -2.05                    2980211.0398234664
1.4000000000000001        -2.05                    3110250.4890976157
1.5                       -2.05                    3279083.1839029905
1.6                       -2.05                    3498911.5302501656
1.7000000000000002        -2.05                    3763274.4026385406
1.8000000000000003        -2.05                    4092322.890984226
1.9000000000000001        -2.05                    4498889.41116728
2                         -2.05                    4963750.038808744
0                         -1.95                    2326071.5323727243
0.1                       -1.95                    2328991.0547433975
0.2                       -1.95                    2336581.6571746347
0.30000000000000004       -1.95                    2348378.9644414736
0.4                       -1.95                    2365547.338609598
0.5                       -1.95                    2388120.4521880536
0.6000000000000001        -1.95                    2417394.6125573367
0.7000000000000001        -1.95                    2450907.3324558535
0.8                       -1.95                    2492398.2014302746
0.9000000000000001        -1.95                    2545441.982840826
1                         -1.95                    2602786.268269942
1.1                       -1.95                    2677900.9563274235
1.2000000000000002        -1.95                    2768860.759781037
1.3000000000000003        -1.95                    2869626.8606664706
1.4000000000000001        -1.95                    3010950.3059066962
1.5                       -1.95                    3183976.9090270237
1.6                       -1.95                    3415013.5403339732
1.7000000000000002        -1.95                    3690516.3285119836
1.8000000000000003        -1.95                    4068343.837657343
1.9000000000000001        -1.95                    4557949.170715088
2                         -1.95                    5225557.326607203
0                         -1.8499999999999999      2222229.9760096343
0.1                       -1.8499999999999999      2225288.2413155823
0.2                       -1.8499999999999999      2232224.044046123
0.30000000000000004       -1.8499999999999999      2243836.280078252
0.4                       -1.8499999999999999      2261883.0856503583
0.5                       -1.8499999999999999      2282378.370965875
0.6000000000000001        -1.8499999999999999      2310271.522958472
0.7000000000000001        -1.8499999999999999      2345678.8488929495
0.8                       -1.8499999999999999      2384338.9104451337
0.9000000000000001        -1.8499999999999999      2431060.647617934
1                         -1.8499999999999999      2493231.8075965834
1.1                       -1.8499999999999999      2558987.820371411
1.2000000000000002        -1.8499999999999999      2641059.096165583
1.3000000000000003        -1.8499999999999999      2753182.182512736
1.4000000000000001        -1.8499999999999999      2883244.654585462
1.5                       -1.8499999999999999      3048807.4157297662
1.6                       -1.8499999999999999      3237745.8551032245
1.7000000000000002        -1.8499999999999999      3548401.386995355
1.8000000000000003        -1.8499999999999999      3963384.0229987665
1.9000000000000001        -1.8499999999999999      4529398.685958682
2                         -1.8499999999999999      5411627.234355857
0                         -1.75                    2111682.945283534
0.1                       -1.75                    2114341.70035242
0.2                       -1.75                    2121692.7597104986
0.30000000000000004       -1.75                    2132970.807891456
0.4                       -1.75                    2148929.5462764148
0.5                       -1.75                    2170456.0727107003
0.6000000000000001        -1.75                    2197855.1678989194
0.7000000000000001        -1.75                    2227948.4476067335
0.8                       -1.75                    2265875.048919764
0.9000000000000001        -1.75                    2314518.71407467
1                         -1.75                    2362971.832942644
1.1                       -1.75                    2423460.876928987
1.2000000000000002        -1.75                    2500057.488400171
1.3000000000000003        -1.75                    2593505.967050451
1.4000000000000001        -1.75                    2707920.356749752
1.5                       -1.75                    2841266.1940118633
1.6                       -1.75                    3044096.482539023
1.7000000000000002        -1.75                    3331002.158460959
1.8000000000000003        -1.75                    3728168.191439526
1.9000000000000001        -1.75                    4384103.810023525
2                         -1.75                    5400080.0997868115
0                         -1.65                    1994970.9083460304
0.1                       -1.65                    1997803.9964804647
0.2                       -1.65                    2004282.2421647354
0.30000000000000004       -1.65                    2015235.1517622645
0.4                       -1.65                    2032203.571592387
0.5                       -1.65                    2050962.5153177513
0.6000000000000001        -1.65                    2075929.4948886714
0.7000000000000001        -1.65                    2108015.8095243806
0.8                       -1.65                    2141671.310773993
0.9000000000000001        -1.65                    2180224.423101839
1                         -1.65                    2229870.143503916
1.1                       -1.65                    2283441.6902015046
1.2000000000000002        -1.65                    2346874.8516589333
1.3000000000000003        -1.65                    2421535.0556008606
1.4000000000000001        -1.65                    2515938.218762972
1.5                       -1.65                    2626380.8299921495
1.6                       -1.65                    2782777.2951352154
1.7000000000000002        -1.65                    3009371.497486763
1.8000000000000003        -1.65                    3346235.796542161
1.9000000000000001        -1.65                    3943454.91079945
2                         -1.65                    5124734.039536602
0                         -1.55                    1873017.0261577806
0.1                       -1.55                    1875424.7853262513
0.2                       -1.55                    1882375.389813845
0.30000000000000004       -1.55                    1893007.6662391152
0.4                       -1.55                    1907753.9870595452
0.5                       -1.55                    1927568.9477725287
0.6000000000000001        -1.55                    1952095.523589809
0.7000000000000001        -1.55                    1978291.7383745636
0.8                       -1.55                    2010472.3947359803
0.9000000000000001        -1.55                    2050766.5275039184
1                         -1.55                    2088369.2503577566
1.1                       -1.55                    2133676.350815003
1.2000000000000002        -1.55                    2186307.0011013807
1.3000000000000003        -1.55                    2241320.6000789762
1.4000000000000001        -1.55                    2304404.634864025
1.5                       -1.55                    2383704.519189331
1.6                       -1.55                    2482600.9719890268
1.7000000000000002        -1.55                    2613026.744680977
1.8000000000000003        -1.55                    2836959.464915283
1.9000000000000001        -1.55                    3230410.2982678073
2                         -1.55                    4070545.899981392
0                         -1.45                    1746404.3636004517
0.1                       -1.45                    1749007.150483925
0.2                       -1.45                    1755259.1519759512
0.30000000000000004       -1.45                    1765754.044069891
0.4                       -1.45                    1781618.1313407342
0.5                       -1.45                    1799258.8756197628
0.6000000000000001        -1.45                    1821730.3296260135
0.7000000000000001        -1.45                    1849817.8954942555
0.8                       -1.45                    1878235.0210688733
0.9000000000000001        -1.45                    1908806.2635542466
1                         -1.45                    1946153.5040928677
1.1                       -1.45                    1983207.0825828258
1.2000000000000002        -1.45                    2018377.21345026
1.3000000000000003        -1.45                    2044854.390976968
1.4000000000000001        -1.45                    2098061.3406455945
1.5                       -1.45                    2134071.0336771025
1.6                       -1.45                    2171826.520251579
1.7000000000000002        -1.45                    2210933.562816122
1.8000000000000003        -1.45                    2279571.4033791614
1.9000000000000001        -1.45                    2376119.0744367074
2                         -1.45                    2674627.0505360905
0                         -1.3499999999999999      1615981.4450133543
0.1                       -1.3499999999999999      1618315.4978620296
0.2                       -1.3499999999999999      1625113.6840463576
0.30000000000000004       -1.3499999999999999      1635656.4567479352
0.4                       -1.3499999999999999      1650211.0074972452
0.5                       -1.3499999999999999      1669095.0265127413
0.6000000000000001        -1.3499999999999999      1691729.599857651
0.7000000000000001        -1.3499999999999999      1716270.8892974514
0.8                       -1.3499999999999999      1744597.162920883
0.9000000000000001        -1.3499999999999999      1775720.0346829218
