% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:44
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.6545
0                         -4.25                    2992198.45706818
0.1                       -4.25                    2994593.8509484758
0.2                       -4.25                    3000458.631408626
0.30000000000000004       -4.25                    3009173.8621143093
0.4                       -4.25                    3022046.174029785
0.5                       -4.25                    3038186.7449628143
0.6000000000000001        -4.25                    3058062.725416459
0.7000000000000001        -4.25                    3079638.8051967877
0.8                       -4.25                    3104911.275251228
0.9000000000000001        -4.25                    3134365.8136562295
1                         -4.25                    3159817.206282037
1.1                       -4.25                    3190095.152733831
1.2000000000000002        -4.25                    3220453.59006674
1.3000000000000003        -4.25                    3247288.069925437
1.4000000000000001        -4.25                    3268087.961574875
1.5                       -4.25                    3283103.689538437
1.6                       -4.25                    3311534.713075736
1.7000000000000002        -4.25                    3323363.462612274
1.8000000000000003        -4.25                    3448914.2020971994
1.9000000000000001        -4.25                    3687645.194280354
2                         -4.25                    4423005.129923047
0                         -4.15                    2989762.022719309
0.1                       -4.15                    2992443.4523130227
0.2                       -4.15                    2998337.9070058325
0.30000000000000004       -4.15                    3007747.3582426873
0.4                       -4.15                    3022457.7229666766
0.5                       -4.15                    3038827.6604158054
0.6000000000000001        -4.15                    3060203.6351835653
0.7000000000000001        -4.15                    3086926.2009238163
0.8                       -4.15                    3114009.3293606983
0.9000000000000001        -4.15                    3145770.407723599
1                         -4.15                    3184907.155420305
1.1                       -4.15                    3222823.0798852015
1.2000000000000002        -4.15                    3262941.018935343
1.3000000000000003        -4.15                    3312373.9574565906
1.4000000000000001        -4.15                    3363464.490734563
1.5                       -4.15                    3427735.1888442934
1.6                       -4.15                    3495497.876054456
1.7000000000000002        -4.15                    3627677.7424952327
1.8000000000000003        -4.15                    3828760.850994223
1.9000000000000001        -4.15                    4167801.1519718627
2                         -4.15                    4789948.341830455
0                         -4.05                    2979562.9709811127
0.1                       -4.05                    2982251.0304423394
0.2                       -4.05                    2988842.710697562
0.30000000000000004       -4.05                    2998762.2281573582
0.4                       -4.05                    3013395.1584788817
0.5                       -4.05                    3032499.8701347513
0.6000000000000001        -4.05                    3056320.5343671977
0.7000000000000001        -4.05                    3083226.109587929
0.8                       -4.05                    3116088.503068465
0.9000000000000001        -4.05                    3156069.876790348
1                         -4.05                    3195648.6358333454
1.1                       -4.05                    3246709.7067933623
1.2000000000000002        -4.05                    3307598.478305063
1.3000000000000003        -4.05                    3366659.6388562266
1.4000000000000001        -4.05                    3456073.810326921
1.5                       -4.05                    3545318.942909862
1.6                       -4.05                    3662318.8521611216
1.7000000000000002        -4.05                    3848389.9195711785
1.8000000000000003        -4.05                    4073470.32030234
1.9000000000000001        -4.05                    4424966.865901455
2                         -4.05                    4912871.913210281
0                         -3.95                    2961090.9967217897
0.1                       -3.95                    2964062.4736339548
0.2                       -3.95                    2970712.672078355
0.30000000000000004       -3.95                    2981281.0056234132
0.4                       -3.95                    2997802.0291046635
0.5                       -3.95                    3017096.3386388184
0.6000000000000001        -3.95                    3042453.5679648174
0.7000000000000001        -3.95                    3074339.6013493445
0.8                       -3.95                    3108854.8208813653
0.9000000000000001        -3.95                    3151590.3932571015
1                         -3.95                    3204909.3745429153
1.1                       -3.95                    3260517.401287846
1.2000000000000002        -3.95                    3329146.998875689
1.3000000000000003        -3.95                    3418090.314882711
1.4000000000000001        -3.95                    3511764.398070031
1.5                       -3.95                    3634786.520791939
1.6                       -3.95                    3782722.8808680484
1.7000000000000002        -3.95                    3990850.282150793
1.8000000000000003        -3.95                    4251711.734776891
1.9000000000000001        -3.95                    4582489.768571689
2                         -3.95                    4969168.360196142
0                         -3.85                    2934049.707862583
0.1                       -3.85                    2937026.238906706
0.2                       -3.85                    2944150.5804112437
0.30000000000000004       -3.85                    2955153.943627601
0.4                       -3.85                    2971778.9244159358
0.5                       -3.85                    2992893.4968165075
0.6000000000000001        -3.85                    3020096.3087654375
0.7000000000000001        -3.85                    3052271.7931811353
0.8                       -3.85                    3091118.922322962
